stage_id,figure_id,figure_label,group,stage,question,conclusion,workbook,sheet
1,M1,Figure 1,Main figure,Measurement foundation,What did the paired RNA discovery cohort contain?,The 60 discovery profiles were dominated by mRNA and lncRNA while retaining multiple low abundance RNA classes for downstream analysis.,Source_Data_Fig1.xlsx,G
2,E1,Extended Data Figure 1,Extended Data,EV phenotype check,How heterogeneous was the captured vesicle fraction?,Tetraspanin phenotypes were heterogeneous supporting a GLAST-enriched vesicle population rather than a uniformly canonical population.,Source_Data_Extended_Data_Fig1.xlsx,B
3,E2,Extended Data Figure 2,Extended Data,RNA composition and covariate QC,Which technical or clinical variables tracked with RNA composition measures?,The association atlas exposes the magnitude and direction of composition related covariate effects before biological feature selection.,Source_Data_Extended_Data_Fig2.xlsx,B
4,E3,Extended Data Figure 3,Extended Data,Sequence motif universe,How did measured features flow into the motif analysis?,The motif analysis used explicitly defined miRNA and mRNA universes and retained only a small displayed subset of all tested motifs.,Source_Data_Extended_Data_Fig3.xlsx,C
5,E4,Extended Data Figure 4,Extended Data,Noncanonical junction landscape,Was the recurrent junction signal broadly distributed across participants?,Detected noncanonical junction molecules were sparse and participant specific with recurrent events visible only in a subset of cells.,Source_Data_Extended_Data_Fig4.xlsx,A
6,M2,Figure 2,Main figure,Outcome guided dual RNA discovery,What joint signal connected the miRNA and mRNA layers?,The outcome guided factor produced strongly concordant participant scores across the two RNA layers and defined the discovery candidate space.,Source_Data_Fig2.xlsx,B
7,E5,Extended Data Figure 5,Extended Data,Factor and clinical sensitivity,How did candidate associations vary across clinical metadata?,The candidate association map shows that effect direction and strength differ across survival disease status and clinical covariates.,Source_Data_Extended_Data_Fig5.xlsx,G
8,E6,Extended Data Figure 6,Extended Data,Directional pair support,How did miRNA and mRNA directional states vary with survival?,Participant level pair states shifted across survival tertiles with suppression and co activation burdens providing complementary context.,Source_Data_Extended_Data_Fig6.xlsx,D
9,M3,Figure 3,Main figure,Transfer to total plasma,Which discovery miRNAs transferred across compartments?,Five of the 19 candidates retained concordant cross compartment effect structure and formed the locked total plasma panel.,Source_Data_Fig3.xlsx,C
10,E7,Extended Data Figure 7,Extended Data,Plasma processing sensitivity,Did ComBat correction materially change candidate survival effects?,The sensitivity view compares each candidate before and after ComBat and makes direction changes directly visible.,Source_Data_Extended_Data_Fig7.xlsx,K
11,E8,Extended Data Figure 8,Extended Data,Prediction model benchmarking,How did model families perform across prediction horizons?,Classifier benchmarking compares mean discrimination across feature sets and horizons without elevating a single algorithm as definitive.,Source_Data_Extended_Data_Fig8.xlsx,A
12,M4,Figure 4,Main figure,Five mRNA tissue bridge,Which mRNAs balanced vesicle and cortical evidence?,Five highlighted genes jointly ranked highly for vesicle survival support and external cortical tissue support.,Source_Data_Fig4.xlsx,C
13,E9,Extended Data Figure 9,Extended Data,External cortical validation,How consistently did the cargo panel classify disease contexts across tissue resources?,Cross context summaries show the range of classification performance across bulk and single nucleus cortical comparisons.,Source_Data_Extended_Data_Fig9.xlsx,E
14,E10,Extended Data Figure 10,Extended Data,Lineage resolved cell state context,Where were cortical state programs localized?,Lineage gating separates identity programs from shared responses and localizes program activity across broad cortical cell classes.,Source_Data_Extended_Data_Fig10.xlsx,A
15,M5,Figure 5,Main figure,Pathway convergence,How did the miRNA and mRNA arms converge biologically?,The mRNA program and predicted miRNA target footprints converged on 11 shared modules spanning inflammatory glial vascular stress trafficking and myelination-associated biology.,Source_Data_Fig5.xlsx,C
