figure_id,group,number,label,workbook,title,explanation,default_panel
M1,Main figure,1,Figure 1,Source_Data_Fig1.xlsx,GLAST-positive extracellular vesicles define a glial-enriched paired-RNA compartment,"Orthogonal physical, imaging, protein and RNA measurements establish a rare GLAST-positive vesicle fraction that supports matched miRNA and mRNA profiling before feature selection.",B
M2,Main figure,2,Figure 2,Source_Data_Fig2.xlsx,A low-variance paired-RNA program tracks ALS survival through directional states,"Outcome-guided MOFA identifies a low-variance factor shared across the two RNA layers. Candidate selection and directional miRNA–mRNA pairing connect this factor to survival.",A
M3,Main figure,3,Figure 3,Source_Data_Fig3.xlsx,The five-miRNA program transfers to total plasma and adds later-horizon prognostic information,"Five directionally concordant miRNAs transfer from GLAST-positive vesicles to total plasma and add information to ALSFRS-R slope and NfL, particularly at later prediction horizons.",A
M4,Main figure,4,Figure 4,Source_Data_Fig4.xlsx,A circulating EV-derived mRNA score tracks reactive glial and vascular states in human ALS cortex,"The fixed EV-derived mRNA candidates map into independent cortical datasets and identify a five-gene bridge associated with reactive astrocytic, vascular and oligodendroglial states.",B
M5,Main figure,5,Figure 5,Source_Data_Fig5.xlsx,Circulating RNA arms converge on a cortical neuroimmune–neurovascular program,"Target, pathway and lineage evidence place the selected miRNA and mRNA arms in an inflammatory and vascular program opposed to myelin and axon–glia support.",A
E1,Extended Data,1,Extended Data Figure 1,Source_Data_Extended_Data_Fig1.xlsx,Complementary characterization of the GLAST-positive vesicle fraction,"Nano-flow cytometry and dSTORM show a heterogeneous tetraspanin phenotype and platform-dependent particle-size estimates, supporting a GLAST-enriched rather than uniformly canonical vesicle population.",B
E2,Extended Data,2,Extended Data Figure 2,Source_Data_Extended_Data_Fig2.xlsx,EV-RNA composition is related to age sex sequencing depth and clinical variables,"Global cargo composition varies more strongly with demographic and sequencing-depth measures than with diagnosis, motivating depth-aware sensitivity analyses.",A
E3,Extended Data,3,Extended Data Figure 3,Source_Data_Extended_Data_Fig3.xlsx,Sequence architecture maps candidate EV-RNA sorting and RBP motifs,"The recovered RNA contains prespecified miRNA EXOmotifs and mRNA 3′-UTR or RNA-binding-protein motifs, but motif prevalence does not differ after multiple-testing correction.",A
E4,Extended Data,4,Extended Data Figure 4,Source_Data_Extended_Data_Fig4.xlsx,Recurrent non-canonical junctions form a sparse sample-specific landscape,"Recurrent junction recovery is sparse and strongly depth dependent. The absence of canonical TDP-43-associated cryptic junctions is therefore interpreted as coverage limited.",A
E5,Extended Data,5,Extended Data Figure 5,Source_Data_Extended_Data_Fig5.xlsx,Factor 1 loadings disease effects and clinical context,"Candidate features are supported by intersecting Factor 1 loading, disease abundance and survival evidence rather than by any single statistical contrast.",A
E6,Extended Data,6,Extended Data Figure 6,Source_Data_Extended_Data_Fig6.xlsx,Directional pair states link the paired-RNA program to survival,"Prior-supported miRNA–mRNA links shift toward the suppression state in shorter survival, whereas same-direction states provide an internal negative control.",A
E7,Extended Data,7,Extended Data Figure 7,Source_Data_Extended_Data_Fig7.xlsx,EV-anchored miRNAs retain measurable signal in total plasma,"The EV-nominated miRNAs remain measurable in plasma, while depth, longitudinal stability and outcome-aligned processing batch define important technical boundaries.",A
E8,Extended Data,8,Extended Data Figure 8,Source_Data_Extended_Data_Fig8.xlsx,Plasma-five performance across horizons classifiers and clinical baselines,"The broad horizon-dependent performance ordering is retained across seven classifier families and clinical baselines, while absolute calibration remains exploratory.",A
E9,Extended Data,9,Extended Data Figure 9,Source_Data_Extended_Data_Fig9.xlsx,Independent cortical datasets establish cross-disease context,"Bulk and donor-pseudobulk cortical analyses show that the fixed five-mRNA panel retains discriminatory information across regions and disease comparators.",A
E10,Extended Data,10,Extended Data Figure 10,Source_Data_Extended_Data_Fig10.xlsx,Lineage gating resolves cargo-state associations,"Lineage gating separates identity programs from shared responses and shows significant gene–program associations without including cargo genes in the state-program definitions.",A
